Benchmark,Algorithme,m,n,k,Nb_Subsets_Solution,Elements_Couverts,Taux_Couverture (%),Temps d'execution
scp44,Genetique,200,1000,134,134,984,98.4,0.47
scp44,DFS,200,1000,134,134,968,96.8,60.01
